[0x00001f18] | DtManager            | INFO  | 2020-06-26 16:25:54,188 | Dt Worker Thread Started
[0x00005194] | DtManager            | INFO  | 2020-06-26 16:25:54,188 | Dt Worker Thread Started
[0x00001278] | DtManager            | INFO  | 2020-06-26 16:25:54,188 | Dt Worker Thread Started
[0x00000368] | DtManager            | INFO  | 2020-06-26 16:25:54,188 | Dt Worker Thread Started
[0x00004c50] | DtManager            | INFO  | 2020-06-26 16:25:54,188 | Dt Worker Thread Started
[0x0000530c] | DtManager            | INFO  | 2020-06-26 16:25:54,189 | Dt Worker Thread Started
[0x00004350] | DtManager            | INFO  | 2020-06-26 16:25:54,189 | Dt Worker Thread Started
[0x00003b00] | DtManager            | INFO  | 2020-06-26 16:25:54,189 | Dt Worker Thread Started
[0x00001c68] | DtManager            | INFO  | 2020-06-26 16:25:54,189 | Dt Worker Thread Started
[0x00003a80] | DtManager            | INFO  | 2020-06-26 16:25:54,189 | Dt Worker Thread Started
[0x00004c90] | DtManager            | INFO  | 2020-06-26 16:25:54,190 | Dt Worker Thread Started
[0x00002008] | DtManager            | INFO  | 2020-06-26 16:25:54,190 | Dt Worker Thread Started
[0x00000760] | DtManager            | INFO  | 2020-06-26 16:25:54,190 | Dt Worker Thread Started
[0x00004d30] | DtManager            | INFO  | 2020-06-26 16:25:54,190 | Dt Worker Thread Started
[0x00000b5c] | DtManager            | INFO  | 2020-06-26 16:25:54,190 | Dt Worker Thread Started
[0x00004cac] | GPUManager           | INFO  | 2020-06-26 16:25:54,192 | Let There Be CUDA Light!
[0x000012b4] | DtManager            | INFO  | 2020-06-26 16:25:54,193 | Dt Data Handler Thread Started
[0x00004cac] | GPUManager           | INFO  | 2020-06-26 16:25:54,202 | Board manager thread id 0xca5fe880 policy 0 priority 0
[0x00002a64] | GPUManager           | INFO  | 2020-06-26 16:25:54,206 | Initializing GPU board 0 with context thread 0
[0x0000487c] | IO                   | INFO  | 2020-06-26 16:25:54,282 | Using DNxHR library v2.5.2.68r
[0x0000487c] | IO                   | INFO  | 2020-06-26 16:25:54,286 | Kdu ctx(0), bundle(0), thds(1)
[0x0000487c] | IO                   | INFO  | 2020-06-26 16:25:54,286 | Kdu ctx(0), bundle(1), thds(1)
[0x0000487c] | IO                   | INFO  | 2020-06-26 16:25:54,286 | Kdu ctx(0), bundle(2), thds(1)
[0x0000487c] | IO                   | INFO  | 2020-06-26 16:25:54,286 | Kdu ctx(0), bundle(3), thds(1)
[0x0000487c] | IO                   | INFO  | 2020-06-26 16:25:54,287 | Kdu ctx(0), bundle(4), thds(1)
[0x0000487c] | IO                   | INFO  | 2020-06-26 16:25:54,287 | Kdu ctx(0), bundle(5), thds(1)
[0x0000487c] | IO                   | INFO  | 2020-06-26 16:25:54,294 | Kdu ctx(0), bundle(6), thds(1)
[0x0000487c] | IO                   | INFO  | 2020-06-26 16:25:54,294 | Kdu ctx(0), bundle(7), thds(1)
[0x00002a64] | GPUManager           | INFO  | 2020-06-26 16:25:54,356 | Setting channel cache size on GPU board 0 to 0
[0x00002a64] | GPUManager           | INFO  | 2020-06-26 16:25:54,356 | Board manager 0 on thread 0 initialization done on GPU GeForce GT 750M
[0x00002a64] | GPUManager           | INFO  | 2020-06-26 16:25:54,357 | Entering loop to wait for commands
[0x00004cac] | GPUManager           | INFO  | 2020-06-26 16:25:54,357 | Finished initializing CUDA board 0 <GeForce GT 750M> on platform <Nvidia CUDA GPU> clock rate <1085000> multiprocessor count <2> global mem size (MB) 4096, available mem size (MB) 3419, shared mem size (KB) 48, on SBM[0|0]
[0x00004cac] | GPUManager           | INFO  | 2020-06-26 16:25:54,357 | Hired CUDA board 0 <GeForce GT 750M>
[0x00000c54] | SyManager            | WARN  | 2020-06-26 16:25:56,191 | socket failed to connect to server, error: 10061

